follow_up,population,n,events,term,HR,HR_lower_95,HR_upper_95,p,E_value
5 years,Overall,80000,45805,kps_group_<90,1.3931108282644153,1.3605896915104179,1.4264092929243726,1.3487602761577777e-166,2.1331425516135907
5 years,Overall,80000,45805,kps_group_Not documented,1.1006879445254283,1.0763521183226459,1.1255739925625812,4.097959478439576e-17,1.4335933465515653
5 years,Overall,80000,45805,concurrent_chemo_Yes,1.0513768970344677,1.0303228405612306,1.0728611810796147,1.207976440145267e-06,1.2837913599737563
5 years,Overall,80000,45805,total_dose_group_Middle,0.8986642619327535,0.8770857986282076,0.9207736083952685,6.921749141552466e-18,1.4669914040697354
5 years,Overall,80000,45805,total_dose_group_High,0.9401548719359019,0.9162355297993517,0.9646986549608889,2.688893823006409e-06,1.3238591599670446
5 years,Overall,80000,45805,fraction_dose_group_Middle,1.216900979150619,1.1921557033951948,1.2421598863641388,2.9201746865892117e-78,1.7306587176880701
5 years,Overall,80000,45805,fraction_dose_group_High,1.6467938626110883,1.5221827346952173,1.7816060871801638,1.9035792423461177e-35,2.6788482038753747
5 years,Breast Cancer,18213,6663,age_at_rt,1.0186593096357544,1.0167482962002443,1.0205739148868243,5.73746834294049e-83,1.156526925383026
5 years,Breast Cancer,18213,6663,approval_to_rt_days,0.9970686245286902,0.9916707685880525,1.0024958620440185,0.2891706728732144,1.0572413496618782
5 years,Breast Cancer,18213,6663,season_Summer,0.9626171305736212,0.8990557147769531,1.0306722095678802,0.2743291869692021,1.239689657538648
5 years,Breast Cancer,18213,6663,season_Autumn,1.0581315875053225,0.989465893989635,1.1315624553384178,0.0988181655908788,1.3061454358509572
5 years,Breast Cancer,18213,6663,season_Winter,0.9976614277988971,0.931781344742592,1.0681994548760763,0.9464450448516465,1.0508161957268964
5 years,Breast Cancer,18213,6663,timing_group_Night,0.9202611037368729,0.8477659843630881,0.998955507382446,0.0471526584546676,1.3934966494574021
5 years,Breast Cancer,18213,6663,timing_group_Afternoon,0.9738962045082472,0.9152129346792209,1.0363422338299957,0.40418391471772597,1.1927007058473957
5 years,Breast Cancer,18213,6663,timing_group_Evening,0.9469381097018442,0.8859186395659904,1.0121604214637467,0.10864777447735517,1.2992946993881929
5 years,Breast Cancer,18213,6663,sex_Male,0.9532679538617437,0.8012055656201093,1.1341905633873541,0.5893477719930974,1.2757965440133292
5 years,Breast Cancer,18213,6663,year_bin_2015-2019,0.9649947065996036,0.9009070341332941,1.0336413730647784,0.30950007827257686,1.2301590960996032
5 years,Breast Cancer,18213,6663,year_bin_2020-2025,0.9414758942877545,0.8835925221178111,1.0031511554675026,0.06249289433753502,1.3191177461670718
5 years,Breast Cancer,18213,6663,stage_Stage II,1.2773298674920879,1.171596214466909,1.3926057205039195,2.8195545742583062e-08,1.8725119597086355
5 years,Breast Cancer,18213,6663,stage_Stage III,1.7172275817019456,1.5819173781696856,1.86411162052586,3.8263915125823866e-38,2.8270217002915
5 years,Breast Cancer,18213,6663,stage_Stage IV,2.930846040754311,2.6960480335243497,3.186092535367894,1.5087555700025875e-140,5.309713938274244
5 years,Breast Cancer,18213,6663,stage_Recurrence,2.379568996168894,2.0750035492927834,2.72883803473884,2.4140222264919494e-35,4.191413253095892
5 years,Breast Cancer,18213,6663,stage_Unknown,1.3411211557662759,1.1831922222907731,1.5201299675226048,4.401968457900546e-06,2.0174973814554966
5 years,Breast Cancer,18213,6663,kps_group_<90,1.4605562644338923,1.3741789840979397,1.552362993658654,4.0013348866229445e-34,2.2807198683222834
5 years,Breast Cancer,18213,6663,kps_group_Not documented,1.136524177513392,1.071633690158029,1.205343969618959,1.9861353560258722e-05,1.5304315632769752
5 years,Breast Cancer,18213,6663,concurrent_chemo_Yes,0.9054952016450779,0.8492980403597491,0.9654108701992938,0.0023911843667100024,1.443868863169354
5 years,Breast Cancer,18213,6663,total_dose_group_Middle,0.9476373053705279,0.8945872497804351,1.003833290436815,0.0672800551760724,1.2967291987546936
5 years,Breast Cancer,18213,6663,total_dose_group_High,0.8399407570852679,0.7863717358448805,0.8971589939648338,2.131473063457715e-07,1.6668723775808219
5 years,Breast Cancer,18213,6663,fraction_dose_group_Middle,0.9868010186326142,0.9352164724523345,1.0412308583711305,0.6276508404674127,1.1297990159765554
5 years,Colorectal Cancer,8020,4622,age_at_rt,1.020739228255271,1.0184374717974733,1.0230461868810345,4.824480596056622e-71,1.166236114283444
5 years,Colorectal Cancer,8020,4622,approval_to_rt_days,1.0061329699675317,0.9995672655637178,1.0127418015082612,0.06719159159516203,1.084686030303551
5 years,Colorectal Cancer,8020,4622,season_Summer,1.0242192744085765,0.9441190347225866,1.1111153186083886,0.5646367617256739,1.1817179971381735
5 years,Colorectal Cancer,8020,4622,season_Autumn,0.9385634725349026,0.8641465934280256,1.019388838278334,0.13249229310117464,1.3295466591770793
5 years,Colorectal Cancer,8020,4622,season_Winter,1.0305364168333118,0.9494556011361992,1.118541304247145,0.47187399851861833,1.2079311450140824
5 years,Colorectal Cancer,8020,4622,timing_group_Night,0.9063841670952416,0.8231912192709314,0.99798471986683,0.04538888547137143,1.440853771354829
5 years,Colorectal Cancer,8020,4622,timing_group_Afternoon,0.9339947292285163,0.8665902679527222,1.0066419927464973,0.07397901441687978,1.3457409022337947
5 years,Colorectal Cancer,8020,4622,timing_group_Evening,0.9860546485888095,0.9105502489739364,1.067820003453134,0.7297062727543538,1.1339031148273522
5 years,Colorectal Cancer,8020,4622,sex_Male,0.9281387545558926,0.8760221452228371,0.9833559030513268,0.011432125150837838,1.3662498980224835
5 years,Colorectal Cancer,8020,4622,year_bin_2015-2019,1.0193362524217542,0.9380389715996729,1.107679346977772,0.6515427475251441,1.159729069472599
5 years,Colorectal Cancer,8020,4622,year_bin_2020-2025,1.0154745278078259,0.9404058682070252,1.0965356039223657,0.6951376395834654,1.140829977704115
5 years,Colorectal Cancer,8020,4622,stage_Stage II,1.2347751899662687,1.119365922392697,1.3620834253174174,2.5282595746178185e-05,1.7731937815750338
5 years,Colorectal Cancer,8020,4622,stage_Stage III,1.7357408272107175,1.5805507379420074,1.9061686201665546,8.350420476903096e-31,2.8658095826567873
5 years,Colorectal Cancer,8020,4622,stage_Stage IV,2.712735620787785,2.457291062343038,2.9947345925208038,4.6471261271246585e-87,4.868239953305608
5 years,Colorectal Cancer,8020,4622,stage_Recurrence,2.331814555795607,1.9624949255010091,2.7706360164127046,6.357289253488565e-22,4.094070089713618
5 years,Colorectal Cancer,8020,4622,stage_Unknown,1.4275149955596957,1.2368381480144233,1.6475874922027667,1.1408859343742856e-06,2.2087217972377804
5 years,Colorectal Cancer,8020,4622,kps_group_<90,1.4227445653220325,1.3212255105728725,1.532064043537656,1.0089727939350097e-20,2.1982814972803673
5 years,Colorectal Cancer,8020,4622,kps_group_Not documented,1.058223079383015,0.9861174079819222,1.1356011735261855,0.11601958520100997,1.306442752970456
5 years,Colorectal Cancer,8020,4622,concurrent_chemo_Yes,0.9203436882938545,0.8538761553429334,0.991985195138926,0.02997905844921318,1.3932126813431343
5 years,Colorectal Cancer,8020,4622,total_dose_group_Middle,0.906734041199198,0.8458564560090036,0.9719930794743231,0.005761377545163437,1.439666649367747
5 years,Colorectal Cancer,8020,4622,total_dose_group_High,0.756453556570737,0.6985160877576021,0.8191965700968776,6.631403290442481e-12,1.9743502237125368
5 years,Colorectal Cancer,8020,4622,fraction_dose_group_Middle,1.0542304051645135,0.9883884847683665,1.1244584131651398,0.1084921435622648,1.293335699980042
5 years,Lung Cancer,8777,6741,age_at_rt,1.0200479461233172,1.018119797465005,1.0219797463727858,5.984143836735066e-94,1.1630509749971163
5 years,Lung Cancer,8777,6741,approval_to_rt_days,1.0059801873124463,1.0006128994845103,1.0113762652735527,0.0289296379104303,1.08354274240663
5 years,Lung Cancer,8777,6741,season_Summer,0.9886435378161452,0.9232860599575882,1.0586275340391493,0.7434408305378315,1.1192777382872796
5 years,Lung Cancer,8777,6741,season_Autumn,1.0509015103875885,0.9822742783884371,1.1243234286322072,0.1496103636351652,1.2821859113906096
5 years,Lung Cancer,8777,6741,season_Winter,1.0020616877784707,0.936024193272433,1.072758197203117,0.9527834442119256,1.0475142821485022
5 years,Lung Cancer,8777,6741,timing_group_Night,1.2264138036614023,1.1338030291050205,1.32658916866583,3.493433204038367e-07,1.7533644789146239
5 years,Lung Cancer,8777,6741,timing_group_Afternoon,1.0118961136961175,0.9497962785547798,1.0780561769217865,0.7143858599768121,1.1216122529701027
5 years,Lung Cancer,8777,6741,timing_group_Evening,1.0101021284901808,0.9448522639397869,1.0798580359282657,0.7679834156875707,1.1111178772138965
5 years,Lung Cancer,8777,6741,sex_Male,1.025922122491755,0.9766861068877014,1.0776401896121215,0.3077897236596918,1.188999033568193
5 years,Lung Cancer,8777,6741,year_bin_2015-2019,0.9848525748697646,0.9184742377871956,1.0560280891104674,0.6681240072874793,1.1403482153270852
5 years,Lung Cancer,8777,6741,year_bin_2020-2025,0.9955266797018194,0.9336281452441572,1.0615290199278955,0.8911209405590601,1.0716768386977549
5 years,Lung Cancer,8777,6741,stage_Stage II,1.2481733361666896,1.1534588979426024,1.350665099464176,3.677219882508863e-08,1.8047372057726805
5 years,Lung Cancer,8777,6741,stage_Stage III,1.8100702007924938,1.6783841797707355,1.9520883068884283,1.7225750547820374e-53,3.020972315335402
5 years,Lung Cancer,8777,6741,stage_Stage IV,2.87155900199268,2.6475399375428106,3.1145332257303715,6.381033275049324e-143,5.189810951184683
5 years,Lung Cancer,8777,6741,stage_Recurrence,2.4317623473822216,2.1010968527101355,2.8144671705725064,9.726820883529838e-33,4.2976952954711045
5 years,Lung Cancer,8777,6741,stage_Unknown,1.4727322953839197,1.3162818377690682,1.6477781213959994,1.4198904082123377e-11,2.3071231621141766
5 years,Lung Cancer,8777,6741,kps_group_<90,1.397189017628946,1.311520852190825,1.4884530030323189,3.7660820125564308e-25,2.1421374274896516
5 years,Lung Cancer,8777,6741,kps_group_Not documented,1.1050312875663952,1.0426057107190823,1.1711945694777177,0.0007620060559767023,1.445711282479877
5 years,Lung Cancer,8777,6741,concurrent_chemo_Yes,0.9197588546052686,0.8767649248087153,0.9648610781383149,0.0006159790956386967,1.3952229697487297
5 years,Lung Cancer,8777,6741,total_dose_group_Middle,0.8672715893271897,0.767732786954224,0.9797158886988595,0.02205460634028012,1.5731163367336618
5 years,Lung Cancer,8777,6741,total_dose_group_High,0.8098744907569445,0.7254201770341135,0.9041610800797674,0.00017474320231195833,1.7731560333745993
5 years,Lung Cancer,8777,6741,fraction_dose_group_Middle,0.9587568237878961,0.8490580023939898,1.0826288010572334,0.49690782222769736,1.2548376507646404
5 years,Lung Cancer,8777,6741,fraction_dose_group_High,0.8692921608676051,0.7449526586416911,1.014385078272918,0.0753035362010118,1.5662575283084907
5 years,Cervical Cancer,6288,3646,age_at_rt,1.0184575867348213,1.015889818372385,1.0210318454018594,9.177553014973585e-46,1.155564367175815
5 years,Cervical Cancer,6288,3646,approval_to_rt_days,0.9898037057088889,0.9827756473847663,0.9968820233205089,0.004818693252589423,1.1123182256988564
5 years,Cervical Cancer,6288,3646,season_Summer,0.9713843416754593,0.885951451683982,1.0650555822880936,0.53649905544158,1.203603541424704
5 years,Cervical Cancer,6288,3646,season_Autumn,1.0307048938648904,0.940082135348497,1.1300635745441658,0.5195252870789306,1.2086028544269625
5 years,Cervical Cancer,6288,3646,season_Winter,0.9683602561040008,0.8824643938755431,1.0626169079565788,0.4975092257798387,1.2163609919298644
5 years,Cervical Cancer,6288,3646,timing_group_Night,0.9810287513482612,0.8779578457709191,1.0962000232788478,0.7352198391176308,1.1597378306918402
5 years,Cervical Cancer,6288,3646,timing_group_Afternoon,1.0242683326383162,0.941777083499205,1.1139850773896665,0.575669955841378,1.1819302640211333
5 years,Cervical Cancer,6288,3646,timing_group_Evening,0.9799372574263614,0.8953389777982464,1.0725290111391592,0.6599679287806259,1.1650164358770378
5 years,Cervical Cancer,6288,3646,year_bin_2015-2019,0.9852742483779623,0.8960904877365976,1.0833340581136839,0.7592539915664918,1.138109221677421
5 years,Cervical Cancer,6288,3646,year_bin_2020-2025,0.9828703038651213,0.9000626292440438,1.0732964605266202,0.7004097414087604,1.1505897172953123
5 years,Cervical Cancer,6288,3646,stage_Stage II,1.2224841985156711,1.093236393170937,1.36701231769809,0.0004258509003808409,1.7440044925645526
5 years,Cervical Cancer,6288,3646,stage_Stage III,1.6816014019736714,1.5118319744412188,1.87043489152621,1.0495204022562696e-21,2.75220024054307
5 years,Cervical Cancer,6288,3646,stage_Stage IV,2.960460542638843,2.6494045073066097,3.3080364286959356,7.601221609065062e-82,5.369581976249576
5 years,Cervical Cancer,6288,3646,stage_Recurrence,2.1692056627396483,1.778054108891856,2.646406081643014,2.2968639598181765e-14,3.761765722681536
5 years,Cervical Cancer,6288,3646,stage_Unknown,1.1882939965003925,1.004661547367281,1.4054908599011646,0.043981821100327945,1.661314741942368
5 years,Cervical Cancer,6288,3646,kps_group_<90,1.3366458580757619,1.229775857697831,1.452803076859622,8.81272370929254e-12,2.0074485800703346
5 years,Cervical Cancer,6288,3646,kps_group_Not documented,1.0321826576609552,0.9517304086507223,1.1194357447152103,0.44424181262487217,1.214441762001664
5 years,Cervical Cancer,6288,3646,concurrent_chemo_Yes,0.9780282745340448,0.916151355462222,1.0440843645376063,0.5052529586421859,1.1740239577532539
5 years,Cervical Cancer,6288,3646,total_dose_group_Middle,0.9013066214460813,0.8335995846407158,0.9745129926050489,0.009109142285032857,1.458055440683814
5 years,Cervical Cancer,6288,3646,total_dose_group_High,0.7747840229908601,0.7073669559824709,0.8486264126490766,3.933951518449358e-08,1.9032003892952871
5 years,Cervical Cancer,6288,3646,fraction_dose_group_Middle,1.009409132530067,0.9381062428937286,1.0861315597816854,0.8021541591454941,1.1068650933792386
5 years,Esophageal Cancer,6187,4303,age_at_rt,1.0188430169169667,1.016424360917788,1.0212674282847367,1.7915940934444789e-53,1.1574001394459068
5 years,Esophageal Cancer,6187,4303,approval_to_rt_days,1.0003668571990372,0.9937097964334399,1.0070685149467675,0.9142577641281681,1.0195238868028578
5 years,Esophageal Cancer,6187,4303,season_Summer,0.9547172576512206,0.8781673763959075,1.0379399947626147,0.2771663054957413,1.2703210413315011
5 years,Esophageal Cancer,6187,4303,season_Autumn,0.9714200855269988,0.8927839585941139,1.056982457493164,0.5007907696787315,1.203450461993786
5 years,Esophageal Cancer,6187,4303,season_Winter,1.0281318597026161,0.94458300910144,1.1190706489005262,0.5211542171545849,1.198200261332501
5 years,Esophageal Cancer,6187,4303,timing_group_Night,0.973238416008968,0.8795024769471873,1.0769645785233217,0.5995955758555636,1.1955854420239778
5 years,Esophageal Cancer,6187,4303,timing_group_Afternoon,1.0022511929676048,0.9262441766568092,1.0844952973746746,0.9554347453939113,1.049751307045175
5 years,Esophageal Cancer,6187,4303,timing_group_Evening,0.9863973457282125,0.908411934098422,1.0710776544622598,0.7444802646540976,1.1320290167789846
5 years,Esophageal Cancer,6187,4303,sex_Male,1.015728836031797,0.9474087460810161,1.0889756640037231,0.6604536544668307,1.142125957497091
5 years,Esophageal Cancer,6187,4303,year_bin_2015-2019,1.0373863183791516,0.9505550163851615,1.1321494863630175,0.41052183488213867,1.2343229964792428
5 years,Esophageal Cancer,6187,4303,year_bin_2020-2025,1.0619207551305672,0.97947246778646,1.1513092274309078,0.1451236596983152,1.3183480061131934
5 years,Esophageal Cancer,6187,4303,stage_Stage II,1.1444640625582472,1.0369869512356031,1.2630804938544902,0.007322894287645512,1.5510768119022396
5 years,Esophageal Cancer,6187,4303,stage_Stage III,1.699466677110145,1.5458852793711102,1.8683061577394389,5.117658286213441e-28,2.789751185620494
5 years,Esophageal Cancer,6187,4303,stage_Stage IV,2.8153314538782013,2.543304565502848,3.116453806871866,1.1188444110372442e-88,5.076030403609843
5 years,Esophageal Cancer,6187,4303,stage_Recurrence,2.2253835505486306,1.8621474092913406,2.659473639059053,1.3900954138079404e-18,3.8767309993018597
5 years,Esophageal Cancer,6187,4303,stage_Unknown,1.314912923847945,1.1380939727477764,1.5192031929735301,0.00020277844884439202,1.9584057936253858
5 years,Esophageal Cancer,6187,4303,kps_group_<90,1.4333558406775033,1.3259473576219611,1.5494649574090182,1.3155322723373576e-19,2.221488523242317
5 years,Esophageal Cancer,6187,4303,kps_group_Not documented,1.1154897486924726,1.0370599704039505,1.1998509391441607,0.0033004357173927155,1.4744154105578833
5 years,Esophageal Cancer,6187,4303,concurrent_chemo_Yes,0.9713827627453849,0.9147947468369121,1.0314712398835817,0.3430686075479934,1.2036103021671742
5 years,Esophageal Cancer,6187,4303,total_dose_group_Middle,0.8355157723212949,0.7768665638559181,0.8985926776572158,1.3020605839664411e-06,1.682274109050167
5 years,Esophageal Cancer,6187,4303,total_dose_group_High,0.7939328493310353,0.7306064032080664,0.8627482136471059,5.2994830934184324e-08,1.8313213758750706
5 years,Esophageal Cancer,6187,4303,fraction_dose_group_Middle,0.9984913991727857,0.9335905992121118,1.0679039346191106,0.964881813965449,1.0404102747525874
5 years,Nasopharyngeal Carcinoma,5590,2777,age_at_rt,1.0197089851941223,1.0167137377693432,1.0227130566436022,1.1632171868214204e-38,1.161474387501965
5 years,Nasopharyngeal Carcinoma,5590,2777,approval_to_rt_days,1.005135729902574,0.9969296684760892,1.0134093381643718,0.22066830635675766,1.0769835247483885
5 years,Nasopharyngeal Carcinoma,5590,2777,season_Summer,1.0134997818949694,0.9116197040647974,1.1267656933270267,0.8040722887894967,1.130469974705707
5 years,Nasopharyngeal Carcinoma,5590,2777,season_Autumn,1.0207930287390383,0.9179991624864235,1.1350973400671591,0.7039243958353598,1.1664823515570841
5 years,Nasopharyngeal Carcinoma,5590,2777,season_Winter,1.043638315263206,0.9387826398250544,1.160205660906124,0.42915652774417146,1.2570454796748467
5 years,Nasopharyngeal Carcinoma,5590,2777,timing_group_Night,0.8081391727335484,0.7114310658912607,0.9179932586838792,0.0010538101994468118,1.7794202500083487
5 years,Nasopharyngeal Carcinoma,5590,2777,timing_group_Afternoon,1.0355991508666538,0.939163839555673,1.1419366420486627,0.4830460702613726,1.2276055320342611
5 years,Nasopharyngeal Carcinoma,5590,2777,timing_group_Evening,0.9638187499236897,0.8683106885128798,1.0698320255569267,0.4888416916733569,1.2348936933537542
5 years,Nasopharyngeal Carcinoma,5590,2777,sex_Male,1.0349446759048742,0.9550519190997976,1.1215206846486845,0.40204521517869407,1.2251177714756485
5 years,Nasopharyngeal Carcinoma,5590,2777,year_bin_2015-2019,1.0407560563721245,0.9332765079116329,1.160613344162111,0.4725725204372613,1.2467102078309682
5 years,Nasopharyngeal Carcinoma,5590,2777,year_bin_2020-2025,1.050127534639746,0.9501470967607938,1.1606285413785575,0.33797694410498086,1.2795622843373562
5 years,Nasopharyngeal Carcinoma,5590,2777,stage_Stage II,1.2411425528981905,1.089448470071667,1.4139584192663135,0.001162073281589226,1.7882186753130216
5 years,Nasopharyngeal Carcinoma,5590,2777,stage_Stage III,1.667646901205576,1.4733909698019285,1.887514070670884,5.798968148358162e-16,2.7228242729753576
5 years,Nasopharyngeal Carcinoma,5590,2777,stage_Stage IV,3.0408946055956796,2.676051029969257,3.455479697054632,3.214881562364512e-65,5.532108244917932
5 years,Nasopharyngeal Carcinoma,5590,2777,stage_Recurrence,2.193027211028046,1.7512178253734059,2.746299334455418,7.840686148516163e-12,3.8105379953140126
5 years,Nasopharyngeal Carcinoma,5590,2777,stage_Unknown,1.4009739804527233,1.1618524419059388,1.6893092643381005,0.0004139690212872919,2.1504765578017437
5 years,Nasopharyngeal Carcinoma,5590,2777,kps_group_<90,1.4071029415441463,1.2791815854079447,1.5478167530615017,2.1694373693196754e-12,2.1639620741164123
5 years,Nasopharyngeal Carcinoma,5590,2777,kps_group_Not documented,1.0779759846770554,0.9830641200748244,1.1820513024644017,0.1103262492982026,1.3679005246239382
5 years,Nasopharyngeal Carcinoma,5590,2777,concurrent_chemo_Yes,0.935308706051232,0.8678680576428673,1.0079900601379386,0.0798533601637602,1.3411024880222857
5 years,Nasopharyngeal Carcinoma,5590,2777,total_dose_group_Middle,0.8397105840044471,0.7677058104960605,0.9184688395590929,0.00013383763320195605,1.667671735024728
5 years,Nasopharyngeal Carcinoma,5590,2777,total_dose_group_High,0.8359066539358677,0.7548292565695663,0.92569270204203,0.0005747302768535976,1.6809106165781607
5 years,Nasopharyngeal Carcinoma,5590,2777,fraction_dose_group_Middle,0.9676097471040489,0.8890526013982949,1.0531082426598894,0.4459598873132935,1.219471926782353
5 years,Lymphoma,4901,3271,age_at_rt,1.0166408573766212,1.0138969407154288,1.0193921999194206,5.18688274091215e-33,1.1467092067582072
5 years,Lymphoma,4901,3271,approval_to_rt_days,1.0055928422248865,0.9979177551238386,1.0133269592026015,0.15365448841565726,1.0805869893901088
5 years,Lymphoma,4901,3271,season_Summer,0.9926251604525281,0.9000298280049219,1.0947467278362455,0.8822214596074904,1.0939445515321518
5 years,Lymphoma,4901,3271,season_Autumn,0.940373397975439,0.8524768330116078,1.0373327384110063,0.21948409384836481,1.323076122723512
5 years,Lymphoma,4901,3271,season_Winter,0.9807254410999326,0.8905259873438677,1.080061002699587,0.6925632680237668,1.161214747218342
5 years,Lymphoma,4901,3271,timing_group_Night,1.0036663864571402,0.8964026466460258,1.1237653292000125,0.9493983728119528,1.0643279793046194
5 years,Lymphoma,4901,3271,timing_group_Afternoon,1.030640802688816,0.9421373606914427,1.127458169568262,0.5100037746123858,1.2083474752653713
5 years,Lymphoma,4901,3271,timing_group_Evening,0.9966928598507064,0.906692817418821,1.0956264765672106,0.9453047733250302,1.0610166707385862
5 years,Lymphoma,4901,3271,sex_Male,1.0401133460802954,0.9707180146666077,1.1144696568404615,0.26426005392147844,1.244374029066652
5 years,Lymphoma,4901,3271,year_bin_2015-2019,0.9966051213244589,0.901415169770212,1.101847185579682,0.9470645143484944,1.0618705089510923
5 years,Lymphoma,4901,3271,year_bin_2020-2025,1.009513409282161,0.9204783921298747,1.1071605072253554,0.8407033522563525,1.1075129717216476
5 years,Lymphoma,4901,3271,stage_Stage II,1.2002772446703713,1.0680068562083758,1.3489290407630252,0.0021809462246474556,1.6905712578941992
5 years,Lymphoma,4901,3271,stage_Stage III,1.6916973181863288,1.513235483105602,1.8912058620813492,2.3996958107534308e-20,2.7734285686235567
5 years,Lymphoma,4901,3271,stage_Stage IV,2.7811334546092032,2.472196629300824,3.1286764170267545,5.322871325000588e-65,5.006795117516959
5 years,Lymphoma,4901,3271,stage_Recurrence,2.510571649900167,2.0326724127735027,3.100829218556811,1.2952587443804813e-17,4.457979763106611
5 years,Lymphoma,4901,3271,stage_Unknown,1.2603054115541237,1.0606699166167632,1.4975155847344652,0.008554041092357042,1.8330744041143752
5 years,Lymphoma,4901,3271,kps_group_<90,1.37256614091714,1.2550995502298807,1.5010266005171564,3.988834636946964e-12,2.087668700187508
5 years,Lymphoma,4901,3271,kps_group_Not documented,1.0246501211673271,0.9420108063765019,1.114539094139215,0.5703215059058266,1.183576990012375
5 years,Lymphoma,4901,3271,concurrent_chemo_Yes,0.9849678665983673,0.900387548073437,1.0774934641279725,0.7409161675187597,1.1397382991768172
5 years,Lymphoma,4901,3271,total_dose_group_Middle,0.8710692676166495,0.8019910136137788,0.9460974700542081,0.0010590071379007469,1.5602309816253248
5 years,Lymphoma,4901,3271,total_dose_group_High,0.7832691509667709,0.7125074895496604,0.8610584054968669,4.270609345471538e-07,1.8710600361738288
5 years,Lymphoma,4901,3271,fraction_dose_group_Middle,1.0192944646473223,0.9427066792666707,1.1021044281439447,0.6315635048466834,1.159532622840266
5 years,Gastric Cancer,3862,2256,age_at_rt,1.0162049059449683,1.0128969920211224,1.0195236228375404,4.323757309787639e-22,1.144530682473511
5 years,Gastric Cancer,3862,2256,approval_to_rt_days,1.0017875734634833,0.9930304567736358,1.0106219154712421,0.6901229008308436,1.0441050507319916
5 years,Gastric Cancer,3862,2256,season_Summer,1.0197758431444057,0.9053680051452241,1.1486409552257961,0.7470405017051154,1.1617861495185484
5 years,Gastric Cancer,3862,2256,season_Autumn,1.083584231686778,0.9644010573607684,1.2174963706214508,0.1769345946776138,1.3845336551343852
5 years,Gastric Cancer,3862,2256,season_Winter,1.0209442612738402,0.9073521256820568,1.1487570868305068,0.7305254418135892,1.1671732712347473
5 years,Gastric Cancer,3862,2256,timing_group_Night,1.005255071567283,0.8725236724016927,1.158178042470934,0.9421686626194996,1.0779371693937785
5 years,Gastric Cancer,3862,2256,timing_group_Afternoon,1.0112958265627243,0.9063771207970712,1.1283595154341508,0.8407035008843052,1.11817623758579
5 years,Gastric Cancer,3862,2256,timing_group_Evening,0.9907411110598583,0.8817932000465641,1.113149828204946,0.8756386137461782,1.1064677829291027
5 years,Gastric Cancer,3862,2256,sex_Male,0.9600580321074781,0.883628696357388,1.0430981121524066,0.33552466589649277,1.249773270932923
5 years,Gastric Cancer,3862,2256,year_bin_2015-2019,1.1093471138494462,0.9828108180822921,1.252174880825388,0.09308039711801129,1.4576342154720154
5 years,Gastric Cancer,3862,2256,year_bin_2020-2025,1.0434762744468775,0.931377925394407,1.1690665042039161,0.4629806409400643,1.2564703140035227
5 years,Gastric Cancer,3862,2256,stage_Stage II,1.1979072488273972,1.0403189748298243,1.3793671090426456,0.012099718000590513,1.6848102452916072
5 years,Gastric Cancer,3862,2256,stage_Stage III,1.7539161094689604,1.5350618550172652,2.0039724842359106,1.4284440484037054e-16,2.9038315887915815
