Table,Characteristic,Overall,Morning,Night,Afternoon,Evening
Nasopharyngeal Carcinoma,Year of treatment,,,,,
Nasopharyngeal Carcinoma,  2015-2019,1698 (30.4),428 (30.9),239 (29.4),590 (30.9),441 (29.7)
Nasopharyngeal Carcinoma,  2020-2025,2805 (50.2),671 (48.5),436 (53.6),940 (49.3),758 (51.0)
Nasopharyngeal Carcinoma,  2010-2014,1087 (19.4),285 (20.6),138 (17.0),378 (19.8),286 (19.3)
Nasopharyngeal Carcinoma,Tumor stage,,,,,
Nasopharyngeal Carcinoma,  Stage III,1627 (29.1),421 (30.4),244 (30.0),530 (27.8),432 (29.1)
Nasopharyngeal Carcinoma,  Stage I,1015 (18.2),264 (19.1),132 (16.2),362 (19.0),257 (17.3)
Nasopharyngeal Carcinoma,  Stage IV,1002 (17.9),239 (17.3),141 (17.3),351 (18.4),271 (18.2)
Nasopharyngeal Carcinoma,  Stage II,1449 (25.9),348 (25.1),220 (27.1),491 (25.7),390 (26.3)
Nasopharyngeal Carcinoma,  Unknown,343 (6.1),81 (5.9),54 (6.6),117 (6.1),91 (6.1)
Nasopharyngeal Carcinoma,  Recurrence,154 (2.8),31 (2.2),22 (2.7),57 (3.0),44 (3.0)
Nasopharyngeal Carcinoma,KPS group,,,,,
Nasopharyngeal Carcinoma,  >=90,3257 (58.3),801 (57.9),469 (57.7),1137 (59.6),850 (57.2)
Nasopharyngeal Carcinoma,  Not documented,1309 (23.4),319 (23.0),188 (23.1),441 (23.1),361 (24.3)
Nasopharyngeal Carcinoma,  <90,1024 (18.3),264 (19.1),156 (19.2),330 (17.3),274 (18.5)
Nasopharyngeal Carcinoma,Concurrent chemotherapy,,,,,
Nasopharyngeal Carcinoma,  Yes,2653 (47.5),665 (48.0),386 (47.5),913 (47.9),689 (46.4)
Nasopharyngeal Carcinoma,  Not documented,2937 (52.5),719 (52.0),427 (52.5),995 (52.1),796 (53.6)
Nasopharyngeal Carcinoma,Total dose group,,,,,
Nasopharyngeal Carcinoma,  Low,1630 (29.2),392 (28.3),237 (29.2),553 (29.0),448 (30.2)
Nasopharyngeal Carcinoma,  High,1656 (29.6),410 (29.6),230 (28.3),570 (29.9),446 (30.0)
Nasopharyngeal Carcinoma,  Middle,2304 (41.2),582 (42.1),346 (42.6),785 (41.1),591 (39.8)
Nasopharyngeal Carcinoma,Dose per fraction group,,,,,
Nasopharyngeal Carcinoma,  Low,3717 (66.5),910 (65.8),539 (66.3),1277 (66.9),991 (66.7)
Nasopharyngeal Carcinoma,  Middle,1873 (33.5),474 (34.2),274 (33.7),631 (33.1),494 (33.3)
Esophageal Cancer,N,6187,1564,816,2082,1725
Esophageal Cancer,"Age at radiotherapy, median (IQR)",58.9 (50.3-67.7),58.5 (49.5-67.9),58.8 (50.6-67.2),59.2 (50.4-67.7),58.9 (50.7-67.7)
Esophageal Cancer,Sex,,,,,
Esophageal Cancer,  Female,1526 (24.7),373 (23.8),198 (24.3),500 (24.0),455 (26.4)
Esophageal Cancer,  Male,4661 (75.3),1191 (76.2),618 (75.7),1582 (76.0),1270 (73.6)
Esophageal Cancer,Year of treatment,,,,,
Esophageal Cancer,  2020-2025,3038 (49.1),755 (48.3),419 (51.3),1010 (48.5),854 (49.5)
Esophageal Cancer,  2015-2019,1920 (31.0),494 (31.6),239 (29.3),658 (31.6),529 (30.7)
Esophageal Cancer,  2010-2014,1229 (19.9),315 (20.1),158 (19.4),414 (19.9),342 (19.8)
Esophageal Cancer,Tumor stage,,,,,
Esophageal Cancer,  Stage II,1660 (26.8),401 (25.6),201 (24.6),571 (27.4),487 (28.2)
Esophageal Cancer,  Stage IV,1067 (17.2),294 (18.8),142 (17.4),340 (16.3),291 (16.9)
Esophageal Cancer,  Stage I,1147 (18.5),298 (19.1),141 (17.3),395 (19.0),313 (18.1)
Esophageal Cancer,  Stage III,1749 (28.3),437 (27.9),249 (30.5),582 (28.0),481 (27.9)
Esophageal Cancer,  Unknown,385 (6.2),90 (5.8),63 (7.7),128 (6.1),104 (6.0)
Esophageal Cancer,  Recurrence,179 (2.9),44 (2.8),20 (2.5),66 (3.2),49 (2.8)
Esophageal Cancer,KPS group,,,,,
Esophageal Cancer,  >=90,3573 (57.8),931 (59.5),475 (58.2),1193 (57.3),974 (56.5)
Esophageal Cancer,  <90,1148 (18.6),290 (18.5),146 (17.9),401 (19.3),311 (18.0)
Esophageal Cancer,  Not documented,1466 (23.7),343 (21.9),195 (23.9),488 (23.4),440 (25.5)
Esophageal Cancer,Concurrent chemotherapy,,,,,
Esophageal Cancer,  Yes,2952 (47.7),765 (48.9),386 (47.3),966 (46.4),835 (48.4)
Esophageal Cancer,  Not documented,3235 (52.3),799 (51.1),430 (52.7),1116 (53.6),890 (51.6)
Esophageal Cancer,Total dose group,,,,,
Esophageal Cancer,  Middle,2599 (42.0),645 (41.2),341 (41.8),889 (42.7),724 (42.0)
Esophageal Cancer,  High,1862 (30.1),461 (29.5),238 (29.2),636 (30.5),527 (30.6)
Esophageal Cancer,  Low,1726 (27.9),458 (29.3),237 (29.0),557 (26.8),474 (27.5)
Esophageal Cancer,Dose per fraction group,,,,,
Esophageal Cancer,  Low,4048 (65.4),1021 (65.3),565 (69.2),1360 (65.3),1102 (63.9)
Esophageal Cancer,  Middle,2139 (34.6),543 (34.7),251 (30.8),722 (34.7),623 (36.1)
Lung Cancer,N,8777,2218,1209,2982,2368
Lung Cancer,"Age at radiotherapy, median (IQR)",64.1 (55.4-72.9),64.5 (55.8-73.0),63.9 (55.4-72.7),64.2 (55.2-73.1),63.8 (55.0-72.5)
Lung Cancer,Sex,,,,,
Lung Cancer,  Male,5407 (61.6),1358 (61.2),750 (62.0),1845 (61.9),1454 (61.4)
Lung Cancer,  Female,3370 (38.4),860 (38.8),459 (38.0),1137 (38.1),914 (38.6)
Lung Cancer,Year of treatment,,,,,
Lung Cancer,  2020-2025,4410 (50.2),1098 (49.5),631 (52.2),1524 (51.1),1157 (48.9)
Lung Cancer,  2010-2014,1668 (19.0),409 (18.4),209 (17.3),589 (19.8),461 (19.5)
Lung Cancer,  2015-2019,2699 (30.8),711 (32.1),369 (30.5),869 (29.1),750 (31.7)
Lung Cancer,Tumor stage,,,,,
Lung Cancer,  Stage III,2510 (28.6),661 (29.8),350 (28.9),826 (27.7),673 (28.4)
Lung Cancer,  Recurrence,250 (2.8),61 (2.8),34 (2.8),83 (2.8),72 (3.0)
Lung Cancer,  Stage IV,1575 (17.9),380 (17.1),240 (19.9),540 (18.1),415 (17.5)
Lung Cancer,  Stage II,2242 (25.5),583 (26.3),284 (23.5),770 (25.8),605 (25.5)
Lung Cancer,  Stage I,1631 (18.6),412 (18.6),212 (17.5),568 (19.0),439 (18.5)
Lung Cancer,  Unknown,569 (6.5),121 (5.5),89 (7.4),195 (6.5),164 (6.9)
Lung Cancer,KPS group,,,,,
Lung Cancer,  >=90,5129 (58.4),1306 (58.9),694 (57.4),1749 (58.7),1380 (58.3)
Lung Cancer,  <90,1531 (17.4),363 (16.4),212 (17.5),541 (18.1),415 (17.5)
Lung Cancer,  Not documented,2117 (24.1),549 (24.8),303 (25.1),692 (23.2),573 (24.2)
Lung Cancer,Concurrent chemotherapy,,,,,
Lung Cancer,  Yes,4270 (48.6),1091 (49.2),584 (48.3),1456 (48.8),1139 (48.1)
Lung Cancer,  Not documented,4507 (51.4),1127 (50.8),625 (51.7),1526 (51.2),1229 (51.9)
Lung Cancer,Total dose group,,,,,
Lung Cancer,  High,7173 (81.7),1833 (82.6),978 (80.9),2426 (81.4),1936 (81.8)
Lung Cancer,  Middle,1141 (13.0),268 (12.1),163 (13.5),407 (13.6),303 (12.8)
Lung Cancer,  Low,463 (5.3),117 (5.3),68 (5.6),149 (5.0),129 (5.4)
Lung Cancer,Dose per fraction group,,,,,
Lung Cancer,  Middle,7778 (88.6),1964 (88.5),1084 (89.7),2641 (88.6),2089 (88.2)
Lung Cancer,  Low,393 (4.5),106 (4.8),50 (4.1),135 (4.5),102 (4.3)
Lung Cancer,  High,606 (6.9),148 (6.7),75 (6.2),206 (6.9),177 (7.5)
Colorectal Cancer,N,8020,2086,1135,2751,2048
Colorectal Cancer,"Age at radiotherapy, median (IQR)",58.6 (49.8-67.8),58.4 (49.4-67.4),58.3 (49.4-67.2),58.7 (49.9-67.9),59.1 (50.3-68.5)
Colorectal Cancer,Sex,,,,,
Colorectal Cancer,  Male,4100 (51.1),1071 (51.3),575 (50.7),1409 (51.2),1045 (51.0)
Colorectal Cancer,  Female,3920 (48.9),1015 (48.7),560 (49.3),1342 (48.8),1003 (49.0)
Colorectal Cancer,Year of treatment,,,,,
Colorectal Cancer,  2015-2019,2433 (30.3),636 (30.5),349 (30.7),804 (29.2),644 (31.4)
Colorectal Cancer,  2020-2025,3994 (49.8),1045 (50.1),570 (50.2),1382 (50.2),997 (48.7)
Colorectal Cancer,  2010-2014,1593 (19.9),405 (19.4),216 (19.0),565 (20.5),407 (19.9)
Colorectal Cancer,Tumor stage,,,,,
Colorectal Cancer,  Stage II,2119 (26.4),539 (25.8),312 (27.5),737 (26.8),531 (25.9)
Colorectal Cancer,  Stage I,1469 (18.3),399 (19.1),219 (19.3),508 (18.5),343 (16.7)
Colorectal Cancer,  Stage III,2317 (28.9),612 (29.3),330 (29.1),764 (27.8),611 (29.8)
Colorectal Cancer,  Stage IV,1390 (17.3),371 (17.8),188 (16.6),465 (16.9),366 (17.9)
Colorectal Cancer,  Unknown,497 (6.2),118 (5.7),58 (5.1),188 (6.8),133 (6.5)
Colorectal Cancer,  Recurrence,228 (2.8),47 (2.3),28 (2.5),89 (3.2),64 (3.1)
Colorectal Cancer,KPS group,,,,,
Colorectal Cancer,  >=90,4617 (57.6),1186 (56.9),658 (58.0),1598 (58.1),1175 (57.4)
Colorectal Cancer,  Not documented,1966 (24.5),513 (24.6),278 (24.5),648 (23.6),527 (25.7)
Colorectal Cancer,  <90,1437 (17.9),387 (18.6),199 (17.5),505 (18.4),346 (16.9)
Colorectal Cancer,Concurrent chemotherapy,,,,,
Colorectal Cancer,  Not documented,6521 (81.3),1698 (81.4),929 (81.9),2229 (81.0),1665 (81.3)
Colorectal Cancer,  Yes,1499 (18.7),388 (18.6),206 (18.1),522 (19.0),383 (18.7)
Colorectal Cancer,Total dose group,,,,,
Colorectal Cancer,  Low,2341 (29.2),610 (29.2),327 (28.8),815 (29.6),589 (28.8)
Colorectal Cancer,  Middle,3239 (40.4),844 (40.5),480 (42.3),1111 (40.4),804 (39.3)
Colorectal Cancer,  High,2440 (30.4),632 (30.3),328 (28.9),825 (30.0),655 (32.0)
Colorectal Cancer,Dose per fraction group,,,,,
Colorectal Cancer,  Low,5266 (65.7),1373 (65.8),746 (65.7),1804 (65.6),1343 (65.6)
Colorectal Cancer,  Middle,2754 (34.3),713 (34.2),389 (34.3),947 (34.4),705 (34.4)
Breast Cancer,N,18213,4603,2396,6430,4784
Breast Cancer,"Age at radiotherapy, median (IQR)",53.1 (44.3-61.8),53.0 (44.2-62.0),53.3 (44.1-61.4),53.2 (44.2-61.7),53.1 (44.5-62.0)
Breast Cancer,Sex,,,,,
Breast Cancer,  Male,356 (2.0),85 (1.8),46 (1.9),134 (2.1),91 (1.9)
Breast Cancer,  Female,17857 (98.0),4518 (98.2),2350 (98.1),6296 (97.9),4693 (98.1)
Breast Cancer,Year of treatment,,,,,
Breast Cancer,  2020-2025,9046 (49.7),2262 (49.1),1193 (49.8),3233 (50.3),2358 (49.3)
Breast Cancer,  2015-2019,5576 (30.6),1466 (31.8),718 (30.0),1910 (29.7),1482 (31.0)
Breast Cancer,  2010-2014,3591 (19.7),875 (19.0),485 (20.2),1287 (20.0),944 (19.7)
Breast Cancer,Tumor stage,,,,,
Breast Cancer,  Stage I,3223 (17.7),834 (18.1),412 (17.2),1113 (17.3),864 (18.1)
Breast Cancer,  Stage II,4752 (26.1),1173 (25.5),651 (27.2),1716 (26.7),1212 (25.3)
Breast Cancer,  Stage IV,3290 (18.1),825 (17.9),418 (17.4),1159 (18.0),888 (18.6)
Breast Cancer,  Stage III,5267 (28.9),1344 (29.2),684 (28.5),1862 (29.0),1377 (28.8)
Breast Cancer,  Unknown,1118 (6.1),295 (6.4),137 (5.7),382 (5.9),304 (6.4)
Breast Cancer,  Recurrence,563 (3.1),132 (2.9),94 (3.9),198 (3.1),139 (2.9)
Breast Cancer,KPS group,,,,,
Breast Cancer,  Not documented,4361 (23.9),1077 (23.4),581 (24.2),1573 (24.5),1130 (23.6)
Breast Cancer,  >=90,10554 (57.9),2709 (58.9),1352 (56.4),3713 (57.7),2780 (58.1)
Breast Cancer,  <90,3298 (18.1),817 (17.7),463 (19.3),1144 (17.8),874 (18.3)
Breast Cancer,Concurrent chemotherapy,,,,,
Breast Cancer,  Not documented,14947 (82.1),3762 (81.7),1988 (83.0),5244 (81.6),3953 (82.6)
Breast Cancer,  Yes,3266 (17.9),841 (18.3),408 (17.0),1186 (18.4),831 (17.4)
Breast Cancer,Total dose group,,,,,
Breast Cancer,  Middle,7446 (40.9),1914 (41.6),1003 (41.9),2596 (40.4),1933 (40.4)
Breast Cancer,  Low,5259 (28.9),1295 (28.1),686 (28.6),1859 (28.9),1419 (29.7)
Breast Cancer,  High,5508 (30.2),1394 (30.3),707 (29.5),1975 (30.7),1432 (29.9)
Breast Cancer,Dose per fraction group,,,,,
Breast Cancer,  Middle,6189 (34.0),1543 (33.5),833 (34.8),2205 (34.3),1608 (33.6)
Breast Cancer,  Low,12024 (66.0),3060 (66.5),1563 (65.2),4225 (65.7),3176 (66.4)
Cervical Cancer,N,6288,1640,820,2209,1619
Cervical Cancer,"Age at radiotherapy, median (IQR)",59.1 (50.0-67.8),58.5 (49.6-67.4),58.5 (50.3-66.6),59.2 (49.7-68.2),59.7 (50.7-68.3)
Cervical Cancer,Sex,,,,,
Cervical Cancer,  Female,6288 (100.0),1640 (100.0),820 (100.0),2209 (100.0),1619 (100.0)
Cervical Cancer,Year of treatment,,,,,
Cervical Cancer,  2020-2025,3150 (50.1),820 (50.0),407 (49.6),1113 (50.4),810 (50.0)
Cervical Cancer,  2015-2019,1956 (31.1),504 (30.7),255 (31.1),707 (32.0),490 (30.3)
Cervical Cancer,  2010-2014,1182 (18.8),316 (19.3),158 (19.3),389 (17.6),319 (19.7)
Cervical Cancer,Tumor stage,,,,,
Cervical Cancer,  Stage III,1849 (29.4),471 (28.7),239 (29.1),665 (30.1),474 (29.3)
Cervical Cancer,  Recurrence,177 (2.8),38 (2.3),22 (2.7),63 (2.9),54 (3.3)
Cervical Cancer,  Stage II,1618 (25.7),443 (27.0),209 (25.5),545 (24.7),421 (26.0)
Cervical Cancer,  Stage IV,1123 (17.9),296 (18.0),141 (17.2),402 (18.2),284 (17.5)
Cervical Cancer,  Stage I,1144 (18.2),305 (18.6),143 (17.4),396 (17.9),300 (18.5)
Cervical Cancer,  Unknown,377 (6.0),87 (5.3),66 (8.0),138 (6.2),86 (5.3)
Cervical Cancer,KPS group,,,,,
Cervical Cancer,  >=90,3617 (57.5),939 (57.3),490 (59.8),1254 (56.8),934 (57.7)
Cervical Cancer,  <90,1189 (18.9),318 (19.4),153 (18.7),422 (19.1),296 (18.3)
Cervical Cancer,  Not documented,1482 (23.6),383 (23.4),177 (21.6),533 (24.1),389 (24.0)
Cervical Cancer,Concurrent chemotherapy,,,,,
Cervical Cancer,  Yes,2989 (47.5),799 (48.7),389 (47.4),1012 (45.8),789 (48.7)
Cervical Cancer,  Not documented,3299 (52.5),841 (51.3),431 (52.6),1197 (54.2),830 (51.3)
Cervical Cancer,Total dose group,,,,,
Cervical Cancer,  Middle,2626 (41.8),693 (42.3),360 (43.9),911 (41.2),662 (40.9)
Cervical Cancer,  High,1848 (29.4),486 (29.6),242 (29.5),660 (29.9),460 (28.4)
Cervical Cancer,  Low,1814 (28.8),461 (28.1),218 (26.6),638 (28.9),497 (30.7)
Cervical Cancer,Dose per fraction group,,,,,
Cervical Cancer,  Low,4112 (65.4),1074 (65.5),524 (63.9),1428 (64.6),1086 (67.1)
Cervical Cancer,  Middle,2176 (34.6),566 (34.5),296 (36.1),781 (35.4),533 (32.9)
