HR,HR_lower_95,HR_upper_95,p,cancer_type,subgroup,level,n,events,comparison
0.9766000836147468,0.8141881202775666,1.1714095300127767,0.7986074630321185,Esophageal Cancer,Tumor stage,Stage III,686,510,Night vs Morning
0.900126566507429,0.7222429737105024,1.12182169328686,0.3489352504099805,Esophageal Cancer,Tumor stage,Stage IV,436,379,Night vs Morning
1.139426853973683,0.7551664631823848,1.7192150590019066,0.5339897725291614,Esophageal Cancer,Tumor stage,Unknown,153,101,Night vs Morning
1.0585871246026046,0.8403128062291446,1.33355899382644,0.6289165974401102,Esophageal Cancer,KPS group,<90,436,335,Night vs Morning
0.8883326546543535,0.7751286690441221,1.0180695629519174,0.08866544581669059,Esophageal Cancer,KPS group,>=90,1406,946,Night vs Morning
1.0864629184016126,0.8793016473306948,1.3424308673196583,0.4423166844940577,Esophageal Cancer,KPS group,Not documented,538,380,Night vs Morning
1.0066220107032604,0.8739736191154015,1.1594032706134554,0.9270577119031428,Esophageal Cancer,Concurrent chemotherapy,Not documented,1229,851,Night vs Morning
0.9373867272979813,0.8092880521708918,1.0857615828595875,0.3884372195154463,Esophageal Cancer,Concurrent chemotherapy,Yes,1151,810,Night vs Morning
0.8930009573934633,0.7379894492210501,1.0805719658287167,0.24468254624835772,Esophageal Cancer,Total dose group,High,699,475,Night vs Morning
1.0546456758253857,0.8765252674804672,1.268962279586505,0.5729651362868531,Esophageal Cancer,Total dose group,Low,695,507,Night vs Morning
0.9870823403373716,0.8404379169817947,1.159314122933614,0.8741045568442358,Esophageal Cancer,Total dose group,Middle,986,679,Night vs Morning
0.964681538300214,0.8524353194993421,1.0917080147310643,0.5688668503917684,Esophageal Cancer,Dose per fraction group,Low,1586,1112,Night vs Morning
1.01802106025362,0.8499236287233537,1.2193647100700118,0.8461972162802506,Esophageal Cancer,Dose per fraction group,Middle,794,549,Night vs Morning
0.9970251256897166,0.896742531363659,1.1085223087890665,0.9560712664485845,Esophageal Cancer,SBRT-like regimen,Non-SBRT,2163,1506,Night vs Morning
0.7514658864081701,0.5187328202625432,1.0886162517139517,0.13079727487631562,Esophageal Cancer,SBRT-like regimen,SBRT-like,217,155,Night vs Morning
1.2208723283453757,1.0737165684230505,1.388196183196255,0.0023242169802474254,Lung Cancer,Sex,Female,1319,1019,Night vs Morning
1.236199859783551,1.1185908726221356,1.366174291898679,3.223140845374197e-05,Lung Cancer,Sex,Male,2108,1650,Night vs Morning
1.4686124193744947,0.9004696453646206,2.395219482904013,0.12358629802600403,Lung Cancer,Tumor stage,Recurrence,95,85,Night vs Morning
1.3504983295616697,1.0950024434234007,1.6656088295536708,0.0049826586196998245,Lung Cancer,Tumor stage,Stage I,624,389,Night vs Morning
1.1988530030585753,1.0137561267291102,1.417745831613225,0.03403660641309448,Lung Cancer,Tumor stage,Stage II,867,615,Night vs Morning
1.2564075327937478,1.0897260032995422,1.4485842162903408,0.001671026848118786,Lung Cancer,Tumor stage,Stage III,1011,834,Night vs Morning
1.1522912200241353,0.9725569126097262,1.3652414974685685,0.10134909182850355,Lung Cancer,Tumor stage,Stage IV,620,576,Night vs Morning
1.4520959618166054,1.0620832974217735,1.9853270336165865,0.019418320373636222,Lung Cancer,Tumor stage,Unknown,210,170,Night vs Morning
1.211194310261521,1.005498102442746,1.4589700901930973,0.043622225558496826,Lung Cancer,KPS group,<90,575,490,Night vs Morning
1.2334910643433228,1.110709015140256,1.3698459138037105,8.755928089870658e-05,Lung Cancer,KPS group,>=90,2000,1523,Night vs Morning
1.315801233572392,1.1212440391760565,1.5441178064526384,0.0007744944633887616,Lung Cancer,KPS group,Not documented,852,656,Night vs Morning
1.2569674113999343,1.1259423360605767,1.403239777668728,4.6620157466149865e-05,Lung Cancer,Concurrent chemotherapy,Not documented,1752,1375,Night vs Morning
1.219462459262099,1.0886617301894626,1.3659786583025797,0.000609379157244645,Lung Cancer,Concurrent chemotherapy,Yes,1675,1294,Night vs Morning
1.2114093240540296,1.1097675637644582,1.3223602836499124,1.7921142165540608e-05,Lung Cancer,Total dose group,High,2811,2170,Night vs Morning
1.398225932519627,0.9707453982982592,2.0139531557889496,0.07178420212872723,Lung Cancer,Total dose group,Low,185,154,Night vs Morning
1.4074339978447,1.126571150179729,1.7583181124184604,0.002617938389698187,Lung Cancer,Total dose group,Middle,431,345,Night vs Morning
1.1866349895383532,0.8338595194048462,1.6886568608123564,0.34179435472322184,Lung Cancer,Dose per fraction group,High,223,162,Night vs Morning
1.640641952198318,1.0989963633259388,2.4492401477718135,0.015447850948026684,Lung Cancer,Dose per fraction group,Low,156,134,Night vs Morning
1.2217133006595595,1.1239033928310487,1.3280353084874514,2.5572679515034687e-06,Lung Cancer,Dose per fraction group,Middle,3048,2373,Night vs Morning
1.2527555206165255,1.150785295062524,1.363761251702399,1.969763906589603e-07,Lung Cancer,SBRT-like regimen,Non-SBRT,2918,2283,Night vs Morning
1.106955944398271,0.8919598490374724,1.3737742390097083,0.35639470996510514,Lung Cancer,SBRT-like regimen,SBRT-like,509,386,Night vs Morning
1.2205860658832397,1.110582126004491,1.341485973296044,3.526010919777203e-05,Lung Cancer,Lung subtype,NSCLC,2393,1852,Night vs Morning
1.3408061469056822,1.0896068699982786,1.6499172069123444,0.005592959070811692,Lung Cancer,Lung subtype,SCLC,519,413,Night vs Morning
1.3181786444628665,1.067620681607524,1.6275396015199435,0.010220299885182624,Lung Cancer,Lung subtype,Unknown,515,404,Night vs Morning
0.870684514656779,0.7589927883913847,0.9988125521848711,0.048049940710828916,Colorectal Cancer,Sex,Female,1575,917,Night vs Morning
0.936898344370557,0.817600238022497,1.0736035373562818,0.34826469900522916,Colorectal Cancer,Sex,Male,1646,936,Night vs Morning
1.1038395034217379,0.8605268229785628,1.4159484826944233,0.43678721610712135,Colorectal Cancer,Tumor stage,Stage I,618,276,Night vs Morning
0.8734344304711008,0.7175261669466653,1.0632193493078321,0.17736739229067727,Colorectal Cancer,Tumor stage,Stage II,851,438,Night vs Morning
0.921196777891193,0.7731651662411954,1.0975707916623691,0.35843700787162036,Colorectal Cancer,Tumor stage,Stage III,942,568,Night vs Morning
0.7998012817218154,0.6492012727456522,0.9853370858908913,0.03583980913657692,Colorectal Cancer,Tumor stage,Stage IV,559,427,Night vs Morning
0.6611885094875188,0.4091816027334479,1.0684015169741428,0.09107900498520338,Colorectal Cancer,Tumor stage,Unknown,176,89,Night vs Morning
0.8980149681979815,0.7265527708562353,1.1099412395843606,0.3197036047897308,Colorectal Cancer,KPS group,<90,586,397,Night vs Morning
0.8433825109388751,0.7392544213203012,0.9621776201043173,0.011295643132389462,Colorectal Cancer,KPS group,>=90,1844,1002,Night vs Morning
1.0616450581116155,0.871603614773022,1.2931224817216087,0.5522283597188228,Colorectal Cancer,KPS group,Not documented,791,454,Night vs Morning
0.8794435858330218,0.7906994786940902,0.9781478823537567,0.017929635145343494,Colorectal Cancer,Concurrent chemotherapy,Not documented,2627,1530,Night vs Morning
1.08049158374936,0.8557147252106685,1.3643122271453059,0.5153309555736707,Colorectal Cancer,Concurrent chemotherapy,Yes,594,323,Night vs Morning
0.9189001104252568,0.765048757013511,1.1036909807365873,0.3656409304970386,Colorectal Cancer,Total dose group,High,960,528,Night vs Morning
0.8989476341024979,0.7544140717675152,1.0711714946742266,0.23357877793431633,Colorectal Cancer,Total dose group,Low,937,566,Night vs Morning
0.898970785198497,0.7725859075864845,1.0460305639860985,0.16826777085443265,Colorectal Cancer,Total dose group,Middle,1324,759,Night vs Morning
0.9367543368985762,0.8316099191619556,1.0551926660309554,0.28212736577205044,Colorectal Cancer,Dose per fraction group,Low,2119,1210,Night vs Morning
0.8450207626781919,0.715985568169265,0.9973107295766378,0.04639121263366076,Colorectal Cancer,Dose per fraction group,Middle,1102,643,Night vs Morning
0.8807833418723471,0.7953943890357911,0.9753391600615269,0.014691518023535122,Colorectal Cancer,SBRT-like regimen,Non-SBRT,2904,1668,Night vs Morning
1.1850063279016156,0.8721967236473422,1.6100037515557695,0.2776900977913622,Colorectal Cancer,SBRT-like regimen,SBRT-like,317,185,Night vs Morning
0.8015415021044999,0.6945823763521247,0.9249713230129998,0.002467926771233044,Colorectal Cancer,Colorectal site,Colon,1483,856,Night vs Morning
1.0125624575271845,0.8762428625735584,1.1700896796833211,0.8656234689135804,Colorectal Cancer,Colorectal site,Rectum,1428,825,Night vs Morning
1.0268261247852424,0.7433655769510497,1.4183759959211943,0.872395890537535,Colorectal Cancer,Colorectal site,Unclassified,310,172,Night vs Morning
